gene_id,log2FoldChange,log2CPM,PValue,FDR,up_down
KRT3,-3.88375281,-2.113542959,3.02E-31,3.28E-29,Down
RNASE1,-2.236455638,8.040969323,3.58E-31,3.86E-29,Down
ESRRG,-3.28957022,2.682433203,3.66E-31,3.93E-29,Down
NFE2L3,2.330093178,5.584544087,4.57E-31,4.87E-29,Up
SLC23A1,-2.645553986,1.469188827,4.72E-31,4.99E-29,Down
MALL,-2.48071427,4.093080048,5.59E-31,5.88E-29,Down
TCEAL6,-3.46595036,-2.293325925,5.87E-31,6.14E-29,Down
COX7A1,-1.988617314,2.920937315,7.89E-31,8.16E-29,Down
PLCD4,-3.028259792,0.616292125,8.41E-31,8.65E-29,Down
NAT8,-3.85061179,-0.996274542,9.35E-31,9.56E-29,Down
KLF10,-1.33745887,6.789691391,1.04E-30,1.06E-28,Down
ITLN2,-4.1734814,0.474150824,1.06E-30,1.07E-28,Down
SH3BGR,-2.656574082,-1.908612641,1.26E-30,1.26E-28,Down
TEF,-1.535487837,4.340565787,1.54E-30,1.54E-28,Down
TMEM100,-2.976282303,2.428381167,1.94E-30,1.93E-28,Down
AIF1L,-2.454069192,4.126837192,2.14E-30,2.11E-28,Down
PI16,-3.436009266,3.606776295,2.15E-30,2.11E-28,Down
CA1,-3.924105639,3.025106161,2.25E-30,2.20E-28,Down
STIL,2.291097352,4.973094028,2.46E-30,2.40E-28,Up
PEPD,-1.355602839,6.415047995,2.97E-30,2.87E-28,Down
LAMB4,-2.690263734,-0.736402862,3.08E-30,2.96E-28,Down
SCNN1B,-3.640611655,3.404644255,3.17E-30,3.02E-28,Down
MAF,-1.64685911,5.875701031,3.26E-30,3.08E-28,Down
RAP1A,-1.132601736,6.497379758,3.52E-30,3.32E-28,Down
PIM1,-1.557085168,5.919550745,4.65E-30,4.35E-28,Down
SASH1,-1.568268445,5.51359877,4.82E-30,4.49E-28,Down
UGT1A5,-3.999164694,-2.865623804,4.89E-30,4.53E-28,Down
MAMDC2,-3.119127617,3.218254012,5.07E-30,4.67E-28,Down
ARHGAP10,-1.776352032,4.482269877,5.55E-30,5.09E-28,Down
XPNPEP2,-3.440795261,4.595808875,5.68E-30,5.19E-28,Down
E2F3,1.371430629,4.674060519,5.73E-30,5.20E-28,Up
COL4A6,-3.084347318,3.699228143,5.76E-30,5.21E-28,Down
CBX7,-1.739656269,4.856726741,6.21E-30,5.58E-28,Down
SIGLEC11,-2.50371852,-0.286387429,8.92E-30,7.98E-28,Down
LY6G6C,-3.608731666,1.764907087,1.06E-29,9.43E-28,Down
PLAC9,-2.025556665,2.481866527,1.08E-29,9.56E-28,Down
NR4A3,-2.429624069,4.605904924,1.20E-29,1.05E-27,Down
PPP1R3C,-2.772533261,3.563322134,1.21E-29,1.06E-27,Down
C2orf40,-3.711726432,4.303690841,1.22E-29,1.06E-27,Down
CKB,-2.537888508,7.276470215,1.45E-29,1.25E-27,Down
FOSB,-2.816393852,6.855258334,1.85E-29,1.60E-27,Down
VSTM2A,-3.649638014,-0.569515324,1.89E-29,1.62E-27,Down
IGLL5,-3.133706706,2.54651907,2.22E-29,1.90E-27,Down
IL1RN,-2.84403343,7.130941149,2.44E-29,2.07E-27,Down
TPM1,-2.136818928,8.512417347,2.54E-29,2.16E-27,Down
ADCYAP1R1,-3.148386825,0.761371986,2.73E-29,2.30E-27,Down
BCO1,-2.543841711,2.677969968,2.83E-29,2.37E-27,Down
ZFP36,-1.746353144,8.711468372,3.08E-29,2.56E-27,Down
CASP16,-2.449566256,0.082941509,3.62E-29,2.99E-27,Down
IL20RB,-2.960398331,2.249416821,4.15E-29,3.42E-27,Down
INPP5A,-1.245920201,5.02409862,4.89E-29,4.01E-27,Down
HEBP1,-1.360111326,5.115716717,5.76E-29,4.70E-27,Down
SAT2,-1.219877664,4.651950603,5.79E-29,4.70E-27,Down
PTN,-2.280054619,3.542268202,6.11E-29,4.94E-27,Down
RHOB,-1.840511988,8.640947756,6.38E-29,5.11E-27,Down
NCAM1,-2.843605369,3.941924847,6.63E-29,5.29E-27,Down
PER1,-1.820929645,6.205881911,7.40E-29,5.88E-27,Down
PDK4,-2.71401604,6.962964754,1.29E-28,1.02E-26,Down
ZBTB16,-2.911348003,4.368825878,1.39E-28,1.10E-26,Down
PAX9,-3.319130029,3.523365302,1.54E-28,1.20E-26,Down
ACAN,3.657540933,3.734762852,1.72E-28,1.34E-26,Up
AMPD1,-2.922673719,0.388063,1.73E-28,1.34E-26,Down
SMDT1,-1.078251331,5.257794568,1.76E-28,1.36E-26,Down
GDPD2,-2.796484912,1.879223819,2.00E-28,1.54E-26,Down
DHRS11,-1.994453021,5.289203134,2.06E-28,1.58E-26,Down
ETFDH,-1.268143481,4.63684502,2.17E-28,1.65E-26,Down
CYP4F22,-3.339766362,1.318948061,2.27E-28,1.72E-26,Down
NPAS4,-2.91686423,-1.012911569,2.30E-28,1.73E-26,Down
FOXI2,-2.981280379,-1.636291955,2.39E-28,1.80E-26,Down
HPGD,-2.511660361,6.433564763,2.40E-28,1.80E-26,Down
TBX10,-3.338746307,1.230861178,2.46E-28,1.83E-26,Down
ZWILCH,1.475720063,4.52733771,2.59E-28,1.92E-26,Up
XRCC2,2.244611755,3.238722873,2.77E-28,2.04E-26,Up
CST1,7.239570989,6.08455648,2.92E-28,2.15E-26,Up
CTHRC1,3.529333352,5.406584455,3.00E-28,2.20E-26,Up
MTBP,1.916782535,3.104433993,3.33E-28,2.43E-26,Up
GIF,-4.742465438,6.540123538,3.66E-28,2.65E-26,Down
TP53AIP1,-3.341697756,-0.785338632,3.67E-28,2.65E-26,Down
ATAD2,2.021497931,6.06946268,4.40E-28,3.17E-26,Up
ATP4B,-5.089772365,6.011868795,5.26E-28,3.78E-26,Down
FAM107A,-2.307236207,3.494337834,5.30E-28,3.79E-26,Down
DAK,-1.409092132,5.556393671,5.90E-28,4.20E-26,Down
HELLS,2.015790696,5.023453446,5.96E-28,4.22E-26,Up
LRRC3,-1.802858142,3.699232988,6.73E-28,4.75E-26,Down
TRIM73,-2.054423765,-2.045426744,7.35E-28,5.17E-26,Down
KRT78,-5.373909504,5.019741175,7.57E-28,5.31E-26,Down
KIAA1524,1.774742873,3.809310389,8.06E-28,5.62E-26,Up
DPP6,-3.527046015,2.130201808,8.12E-28,5.62E-26,Down
NCCRP1,-4.050009901,4.791475838,8.12E-28,5.62E-26,Down
MT1X,-2.182674861,3.800264559,9.79E-28,6.75E-26,Down
LRRC4,-1.97274958,1.906447805,1.07E-27,7.37E-26,Down
FAM19A4,-4.133655199,1.180708873,1.22E-27,8.36E-26,Down
RDH12,-2.970998614,1.474280654,1.31E-27,8.95E-26,Down
PDZRN4,-3.344895397,2.731557043,1.41E-27,9.60E-26,Down
TMEM154,-2.160183422,4.405272842,1.44E-27,9.75E-26,Down
INHBA,3.441257543,6.045981207,1.71E-27,1.15E-25,Up
GABRD,3.02061882,1.443872753,1.76E-27,1.18E-25,Up
PTGS1,-1.828172241,5.187750086,1.94E-27,1.30E-25,Down
MYL6,-1.207697571,8.547398376,2.32E-27,1.54E-25,Down
EFS,-2.114151344,2.89770505,2.41E-27,1.60E-25,Down
OSGIN1,-1.763128466,3.212040471,2.42E-27,1.60E-25,Down
RGS2,-1.912502179,5.799771101,2.45E-27,1.62E-25,Down
GSTA3,-3.820979497,-2.604868291,2.58E-27,1.69E-25,Down
TNFRSF17,-2.728680219,1.759669665,2.65E-27,1.73E-25,Down
FBP2,-2.887975393,0.74081193,2.66E-27,1.74E-25,Down
PSD,-3.023327139,4.420510377,2.99E-27,1.94E-25,Down
KDM8,-1.057530729,1.963660054,3.47E-27,2.24E-25,Down
EHD3,-1.953835404,4.305277544,3.60E-27,2.32E-25,Down
ELOVL4,-2.371696978,1.282671463,3.74E-27,2.40E-25,Down
KIF23,2.193150238,4.921499779,4.28E-27,2.74E-25,Up
FLRT1,-2.379307519,0.429615703,4.33E-27,2.76E-25,Down
GPM6A,-2.844856363,0.993242168,4.92E-27,3.13E-25,Down
ADAMTS1,-1.966725615,6.088336628,4.96E-27,3.14E-25,Down
ASPA,-2.303586518,1.428222777,5.35E-27,3.37E-25,Down
CRYAB,-2.523770694,5.140551215,5.66E-27,3.56E-25,Down
DGKB,-2.959697646,0.561860245,5.85E-27,3.66E-25,Down
KLF9,-1.775681407,6.317081217,5.95E-27,3.71E-25,Down
LGALS9C,-2.95901384,2.909160182,6.46E-27,4.01E-25,Down
TMEM35,-3.062307077,1.803949945,6.46E-27,4.01E-25,Down
GBP6,-4.386861719,5.305195809,7.23E-27,4.46E-25,Down
PITX1,-2.048499909,6.712458704,8.17E-27,5.01E-25,Down
PNLIPRP3,-4.807590647,-1.597884395,8.28E-27,5.06E-25,Down
MAB21L3,-3.556667617,0.713120512,9.28E-27,5.66E-25,Down
SLC7A3,-3.23191922,-1.258657735,9.44E-27,5.73E-25,Down
FAT3,-3.067400368,2.455286166,1.06E-26,6.39E-25,Down
CCDC69,-2.070832638,5.886499963,1.30E-26,7.83E-25,Down
DUSP5,-1.936956682,4.981289173,1.37E-26,8.26E-25,Down
NEFM,-2.812240264,-0.492391292,1.40E-26,8.41E-25,Down
ADAMTSL1,-1.954884711,3.187690833,1.62E-26,9.67E-25,Down
P2RY14,-2.170680934,2.87834094,2.00E-26,1.19E-24,Down
CPO,-2.644221702,-1.783317206,2.00E-26,1.19E-24,Down
KLF8,-2.018134585,2.810243974,2.01E-26,1.19E-24,Down
ELL2,-1.455083713,5.781752674,2.64E-26,1.56E-24,Down
DSCC1,2.004838422,3.679959452,2.72E-26,1.59E-24,Up
AGPAT9,-1.991256531,3.449929508,3.05E-26,1.79E-24,Down
WNT2,4.526193593,2.8727234,3.10E-26,1.81E-24,Up
TSLP,-2.247889745,0.188509144,3.24E-26,1.89E-24,Down
DHRS7,-1.285638493,5.39916088,3.56E-26,2.07E-24,Down
TOM1L2,-1.301796792,6.071051669,3.70E-26,2.14E-24,Down
PCOLCE2,-2.704316871,1.541325499,3.74E-26,2.15E-24,Down
IGSF11,-2.676519756,0.49557906,4.65E-26,2.66E-24,Down
PMP2,-3.240637664,-0.840962066,5.42E-26,3.08E-24,Down
FANCI,1.899554644,5.391240774,6.02E-26,3.41E-24,Up
CADM3,-3.064227253,1.710351243,6.06E-26,3.42E-24,Down
KRT15,-3.504858493,5.620075551,6.22E-26,3.50E-24,Down
NT5C1A,-2.870932288,-2.82256405,6.25E-26,3.51E-24,Down
ALDH6A1,-1.184854145,5.154177643,6.96E-26,3.89E-24,Down
DEFA5,-5.683373748,5.102119874,7.20E-26,4.01E-24,Down
HSPB8,-2.735892493,5.791304503,7.25E-26,4.03E-24,Down
SOX15,-2.704519649,2.312508283,7.28E-26,4.03E-24,Down
C3orf18,-1.682785514,2.01202308,8.43E-26,4.66E-24,Down
DLEU7,2.234622746,-0.402146621,8.46E-26,4.66E-24,Up
ACAA1,-1.098180817,5.112961168,1.01E-25,5.55E-24,Down
TMPRSS15,-4.709671234,4.265659406,1.05E-25,5.74E-24,Down
ADAMTS12,3.159033488,4.983925226,1.09E-25,5.98E-24,Up
SCEL,-4.105488888,5.058993401,1.13E-25,6.16E-24,Down
CENPI,1.863593098,2.82241347,1.14E-25,6.18E-24,Up
ABCG5,-2.721702399,1.438312764,1.26E-25,6.83E-24,Down
SLC39A10,1.788051154,5.070354641,1.27E-25,6.83E-24,Up
EPM2A,-1.649476771,2.86450186,1.32E-25,7.12E-24,Down
CAPN14,-4.204167454,3.860288271,1.64E-25,8.80E-24,Down
ATAD5,1.547413964,3.831177164,1.72E-25,9.17E-24,Up
FAM72A,2.360591548,0.589832852,1.92E-25,1.02E-23,Up
C11orf96,-2.047852468,6.256746152,1.92E-25,1.02E-23,Down
PGM2L1,1.703975637,4.901219416,2.03E-25,1.08E-23,Up
SPINK7,-4.827292562,3.236741521,2.09E-25,1.11E-23,Down
ZNF185,-2.487836048,5.977437877,2.30E-25,1.21E-23,Down
GRHL3,-2.929410723,3.41259016,2.70E-25,1.41E-23,Down
KNTC1,1.59154207,5.338785523,2.75E-25,1.44E-23,Up
ALDH3A1,-2.88267571,5.986226062,3.00E-25,1.57E-23,Down
ABI3BP,-2.56383938,5.988712864,3.06E-25,1.59E-23,Down
GFRA4,-3.922851124,-3.039059409,3.17E-25,1.65E-23,Down
NAP1L5,-1.625763891,2.19891747,3.25E-25,1.68E-23,Down
EXO1,2.229983287,3.712242494,3.28E-25,1.69E-23,Up
NPPC,-3.087792159,-0.480193805,3.37E-25,1.73E-23,Down
KLHL41,-2.471560971,-0.57035569,3.44E-25,1.77E-23,Down
ANLN,2.107486753,6.065949735,3.64E-25,1.86E-23,Up
KLK13,-4.104331851,5.284534541,4.19E-25,2.14E-23,Down
C1orf112,1.480165754,3.210591139,4.25E-25,2.16E-23,Up
CNFN,-3.861211216,6.102460201,4.93E-25,2.50E-23,Down
ARHGAP11A,1.925679367,4.914655601,5.19E-25,2.63E-23,Up
PRIMA1,-3.101988323,3.870353174,6.35E-25,3.20E-23,Down
PARK2,-1.83866176,1.80439688,6.53E-25,3.28E-23,Down
MYL9,-2.628429327,9.691444598,6.63E-25,3.32E-23,Down
DSTN,-1.392140671,8.950946123,7.17E-25,3.58E-23,Down
EME1,2.336820308,1.726755634,7.85E-25,3.91E-23,Up
SMTN,-2.167114859,7.812000725,8.06E-25,4.00E-23,Down
DNA2,1.976477957,3.539139407,8.22E-25,4.08E-23,Up
NDRG4,-2.010082173,2.807537924,8.42E-25,4.16E-23,Down
BMP8A,2.102739341,3.947729177,8.48E-25,4.18E-23,Up
DTL,2.052218563,4.651686804,8.76E-25,4.30E-23,Up
GRIA4,-2.531066494,-0.526979989,8.76E-25,4.30E-23,Down
RCAN2,-2.113547834,5.080641812,1.05E-24,5.13E-23,Down
CENPL,1.304595467,3.488607264,1.08E-24,5.25E-23,Up
A2ML1,-4.588884893,6.742983152,1.32E-24,6.39E-23,Down
BTC,-1.775781309,3.221216434,1.34E-24,6.50E-23,Down
CRY2,-1.078831709,5.066256953,1.63E-24,7.84E-23,Down
KIF18B,2.298383371,4.810040183,1.69E-24,8.15E-23,Up
FHL1,-2.693690118,7.541424927,1.71E-24,8.21E-23,Down
AKR1B15,-3.311698678,1.082382326,1.74E-24,8.33E-23,Down
ADRB2,-2.154077195,1.537572369,1.83E-24,8.73E-23,Down
RAD51AP1,1.988683496,3.899870637,1.84E-24,8.76E-23,Up
C17orf78,-3.507651534,2.329840809,2.21E-24,1.05E-22,Down
UGT1A8,-3.179866246,2.858849204,2.26E-24,1.07E-22,Down
ENC1,2.057523274,7.064501811,2.50E-24,1.18E-22,Up
DUSP1,-1.798675947,8.023832645,2.95E-24,1.39E-22,Down
JUN,-1.413282142,8.063649461,3.04E-24,1.42E-22,Down
SLC15A1,-3.345859497,3.930203156,3.04E-24,1.42E-22,Down
ADAM12,3.765548543,4.544588962,3.34E-24,1.55E-22,Up
PXMP2,-1.48631064,0.747571862,3.58E-24,1.66E-22,Down
CENPF,2.338743424,6.55950273,3.86E-24,1.79E-22,Up
TBC1D31,1.411491853,3.622444574,3.90E-24,1.80E-22,Up
CAMK2A,-2.363637459,0.086453555,4.71E-24,2.17E-22,Down
ATP11A,1.962125923,7.43956784,4.75E-24,2.18E-22,Up
TPRG1,-2.259780853,2.300618493,4.90E-24,2.25E-22,Down
RFC3,1.826381518,4.974402167,4.95E-24,2.26E-22,Up
KIF18A,2.138811932,3.719778363,5.41E-24,2.46E-22,Up
UPK1A,-3.655953936,0.748920802,5.72E-24,2.59E-22,Down
MICALL1,-1.253380956,6.056730168,5.98E-24,2.71E-22,Down
GKN2,-4.64907453,7.929022678,6.06E-24,2.74E-22,Down
DKC1,1.320034596,6.361398867,6.15E-24,2.77E-22,Up
ACBD4,-1.005099735,3.561222164,6.22E-24,2.79E-22,Down
ANKRD63,-3.311618693,-2.628781543,6.89E-24,3.09E-22,Down
TPX2,2.25864682,6.777270748,6.92E-24,3.09E-22,Up
TMEM120A,-1.126616466,5.122786773,7.29E-24,3.25E-22,Down
CD36,-2.085044382,4.532555748,7.41E-24,3.30E-22,Down
KLF4,-1.647264751,6.913384722,8.21E-24,3.64E-22,Down
SCUBE1,-2.23513139,3.363988741,8.97E-24,3.97E-22,Down
PLCD1,-1.378862334,4.058507224,9.29E-24,4.09E-22,Down
TRIP13,2.28958251,4.560756902,9.43E-24,4.14E-22,Up
TCP11L2,-1.436152093,3.625334195,1.00E-23,4.39E-22,Down
SMIM5,-2.04691488,2.013617349,1.09E-23,4.78E-22,Down
DHRS1,-1.234496101,4.296235488,1.20E-23,5.23E-22,Down
RPRM,-3.036419209,0.163423229,1.45E-23,6.30E-22,Down
TMEM26,1.981838526,1.246028212,1.50E-23,6.51E-22,Up
IQGAP3,2.152009687,6.130548252,1.51E-23,6.52E-22,Up
MT1M,-2.636190477,2.253021956,1.56E-23,6.74E-22,Down
CIDEA,-3.818007425,-0.612043931,1.57E-23,6.75E-22,Down
LMO3,-2.402029474,2.852194677,1.58E-23,6.76E-22,Down
MMP11,4.320159502,6.999483704,1.58E-23,6.76E-22,Up
TMEM236,-2.894246886,2.12563472,1.73E-23,7.41E-22,Down
FIGF,-2.85969862,1.098601069,1.79E-23,7.63E-22,Down
AHNAK,-1.472965364,9.914823991,1.81E-23,7.72E-22,Down
SGCA,-2.626054603,2.988405946,1.86E-23,7.88E-22,Down
SLC2A4,-2.657317624,3.311115126,1.87E-23,7.94E-22,Down
MCM10,2.318389158,3.668450812,1.97E-23,8.34E-22,Up
PRIM2,1.121521186,3.950793375,2.00E-23,8.45E-22,Up
CRYL1,-1.479278696,5.404191949,2.03E-23,8.56E-22,Down
CENPO,1.391144417,3.566383174,2.07E-23,8.67E-22,Up
MXI1,-1.182862755,5.241849992,2.42E-23,1.01E-21,Down
MKNK2,-1.138429413,7.619044646,2.54E-23,1.06E-21,Down
ANKRD53,-1.685031232,0.187207257,2.61E-23,1.09E-21,Down
ANGPTL7,-2.719930275,0.411878061,2.73E-23,1.13E-21,Down
SLC22A17,-1.991704081,3.817567902,2.81E-23,1.16E-21,Down
CTD-2619J13.28,-3.674859724,-0.371286774,2.84E-23,1.18E-21,Down
CHEK1,1.662117998,4.506234616,2.91E-23,1.20E-21,Up
FAM46B,-2.658351528,3.735293738,3.00E-23,1.24E-21,Down
NECAB1,-2.48617674,1.930905295,3.26E-23,1.34E-21,Down
SI,-3.78595687,6.520359469,4.52E-23,1.85E-21,Down
LIMS2,-2.225887171,5.643238573,4.60E-23,1.88E-21,Down
BUB1,2.077606003,5.361611818,4.76E-23,1.94E-21,Up
SLC5A11,-2.543852245,-0.474898218,4.89E-23,1.99E-21,Down
ATP4A,-4.760051862,6.467713244,4.91E-23,1.99E-21,Down
ATP5J,-1.108424862,6.299309866,5.12E-23,2.08E-21,Down
COL11A1,6.00459054,4.807088792,5.64E-23,2.28E-21,Up
MPP1,-1.60931997,4.558051192,6.43E-23,2.59E-21,Down
PLN,-2.845178752,5.385669102,6.61E-23,2.65E-21,Down
TIMELESS,1.551923399,5.47945853,7.40E-23,2.97E-21,Up
SHBG,-2.410802353,-0.376179437,7.73E-23,3.09E-21,Down
C1QTNF2,-1.90319607,1.186792133,8.01E-23,3.20E-21,Down
FOXF2,-1.955266622,4.441906147,8.36E-23,3.33E-21,Down
C1QL1,-2.269942699,1.875618776,8.64E-23,3.43E-21,Down
HOXC9,4.416057275,1.882474306,9.63E-23,3.82E-21,Up
SLC5A1,-2.468003638,6.195768689,9.82E-23,3.88E-21,Down
ATP1B2,-2.058566611,2.423532867,1.01E-22,3.98E-21,Down
ACACB,-1.622084594,5.215583275,1.01E-22,3.98E-21,Down
ATP6V1G2,-1.98487791,-0.86269696,1.01E-22,3.98E-21,Down
C1QTNF6,1.987161929,4.149229434,1.05E-22,4.13E-21,Up
DMPK,-1.899674389,5.205529277,1.11E-22,4.36E-21,Down
ARL4D,-2.313217416,2.384785533,1.13E-22,4.41E-21,Down
ADHFE1,-2.099735022,-0.191373312,1.19E-22,4.62E-21,Down
TSC22D3,-1.642961529,6.682563432,1.22E-22,4.74E-21,Down
RBPMS2,-2.611962636,4.748580797,1.29E-22,5.00E-21,Down
PRR5-ARHGAP8,3.022579613,-0.944760191,1.29E-22,5.00E-21,Up
REP15,-2.788451121,-0.236104911,1.31E-22,5.05E-21,Down
PRRT4,-2.80077621,-0.483557844,1.31E-22,5.05E-21,Down
NDC80,1.894291175,4.087878284,1.36E-22,5.24E-21,Up
APOA1,-4.069772482,6.463326353,1.41E-22,5.41E-21,Down
CHODL,-2.75528506,0.241771544,1.51E-22,5.77E-21,Down
BGN,2.605203597,9.070778893,1.52E-22,5.80E-21,Up
TTC9,-2.178556054,4.496240841,1.66E-22,6.32E-21,Down
PNCK,-3.030972133,3.039170112,1.84E-22,7.00E-21,Down
MMS22L,1.433487661,4.288956829,1.88E-22,7.12E-21,Up
METTL7A,-1.567367303,6.247100931,2.07E-22,7.84E-21,Down
PITPNM3,-2.057191714,4.692196883,2.17E-22,8.17E-21,Down
SALL4,4.947496057,3.41189736,2.21E-22,8.30E-21,Up
CDHR5,-2.351973258,7.15535086,2.27E-22,8.53E-21,Down
SLC10A6,-2.329254314,-0.034023435,2.34E-22,8.78E-21,Down
EMILIN3,-2.25689991,0.337208806,2.41E-22,9.00E-21,Down
FOXF1,-1.89917271,5.413842404,2.47E-22,9.20E-21,Down
GFOD1,-1.691460393,4.402846272,2.70E-22,1.00E-20,Down
CALCOCO1,-1.11818469,6.09031368,2.71E-22,1.00E-20,Down
COL1A1,3.034932829,11.99802479,2.77E-22,1.02E-20,Up
ARHGEF25,-2.168091481,2.056594434,2.79E-22,1.03E-20,Down
GNA11,-1.029002004,6.876212797,2.87E-22,1.05E-20,Down
RP11-812E19.9,-3.273151463,0.309434078,3.01E-22,1.10E-20,Down
LYPD3,-3.174329632,5.479769506,3.08E-22,1.13E-20,Down
FAM91A1,1.228715893,6.644330982,3.14E-22,1.14E-20,Up
FAXDC2,-1.967183351,4.512249877,3.25E-22,1.18E-20,Down
KIF26B,2.693192821,5.108263517,3.25E-22,1.18E-20,Up
KY,-2.338514643,1.136638223,3.43E-22,1.24E-20,Down
CCDC146,-1.607620945,2.96794614,3.50E-22,1.27E-20,Down
FMO6P,-2.845663604,-1.77981645,3.57E-22,1.29E-20,Down
NUDCD1,1.33834567,4.766492495,3.66E-22,1.32E-20,Up
CA11,-1.475011502,2.398609192,3.69E-22,1.33E-20,Down
APOBEC1,-2.949956813,2.366479183,4.08E-22,1.46E-20,Down
SLC5A7,-3.332310152,-0.242665229,4.29E-22,1.54E-20,Down
NEGR1,-2.2976808,4.279278498,4.72E-22,1.68E-20,Down
GPER1,-2.27903581,2.463548374,4.74E-22,1.69E-20,Down
GJB2,-2.224729997,6.526548069,4.81E-22,1.71E-20,Down
MXD1,-1.601015351,6.780155135,4.93E-22,1.75E-20,Down
GSTA1,-3.132196954,5.484596376,5.09E-22,1.80E-20,Down
HOXC10,6.549263502,3.710449816,5.28E-22,1.87E-20,Up
CKM,-2.776912781,0.178908914,5.30E-22,1.87E-20,Down
CRCT1,-5.409359325,4.59803839,5.46E-22,1.92E-20,Down
FANCB,1.849307853,1.473157078,5.87E-22,2.07E-20,Up
GHR,-2.117708284,2.650849833,6.22E-22,2.18E-20,Down
PIGW,1.256629991,3.341374357,6.46E-22,2.26E-20,Up
SUSD2,-1.903450973,4.603370485,6.49E-22,2.27E-20,Down
NUF2,2.104975027,4.001430949,6.55E-22,2.28E-20,Up
MZB1,-2.445571727,4.907281001,6.56E-22,2.28E-20,Down
TRIM59,1.459285886,3.377395083,6.67E-22,2.31E-20,Up
PLCL1,-1.619783493,2.689891069,6.69E-22,2.32E-20,Down
ZNF695,3.1100199,0.623653926,6.71E-22,2.32E-20,Up
FANCD2,1.648741275,4.249298443,6.99E-22,2.40E-20,Up
IBSP,6.708878065,0.412029886,7.31E-22,2.50E-20,Up
IMPG2,-1.869879467,-0.718130843,7.34E-22,2.51E-20,Down
ZNF331,-1.762089861,4.303543906,7.68E-22,2.62E-20,Down
NOS1,-2.886520055,1.221244432,7.88E-22,2.69E-20,Down
KCNB1,-2.750883227,2.459088406,7.97E-22,2.71E-20,Down
PTCHD1,-2.995830818,2.571553978,8.25E-22,2.80E-20,Down
FNDC5,-2.23238961,1.453095984,8.25E-22,2.80E-20,Down
POLR1B,1.014177625,5.424093362,8.46E-22,2.86E-20,Up
ADAMTS2,2.727169024,6.249537409,8.68E-22,2.93E-20,Up
DNAJB5,-2.198686076,4.678796808,8.82E-22,2.97E-20,Down
NRXN1,-2.819163501,1.677521612,9.01E-22,3.03E-20,Down
GINS1,1.930436117,4.425656585,9.13E-22,3.07E-20,Up
RERG,-2.219763028,3.817921203,9.89E-22,3.31E-20,Down
ADA,-1.697622353,4.029136426,1.00E-21,3.35E-20,Down
NPR1,-1.71049829,3.322560475,1.00E-21,3.35E-20,Down
CEP55,2.01582935,5.214164203,1.01E-21,3.36E-20,Up
ITGB1BP2,-1.872766234,0.598235398,1.03E-21,3.43E-20,Down
GLUL,-1.217822443,8.599912045,1.08E-21,3.57E-20,Down
RECQL4,2.163388516,5.033663801,1.10E-21,3.64E-20,Up
TEAD4,1.574394032,4.746638304,1.14E-21,3.77E-20,Up
NKAPL,-2.027957823,-0.961529558,1.17E-21,3.86E-20,Down
MTFR2,2.038736906,2.83564676,1.18E-21,3.87E-20,Up
RUNX1,1.453544754,6.992556325,1.30E-21,4.27E-20,Up
MOGAT2,-3.078224837,4.605720383,1.36E-21,4.45E-20,Down
TIAM1,-1.873288686,3.612295159,1.51E-21,4.92E-20,Down
NDRG2,-1.393029127,5.716899674,1.54E-21,5.03E-20,Down
MEST,2.206571482,5.545029186,1.61E-21,5.24E-20,Up
SGOL1,1.940332728,3.064396151,1.66E-21,5.41E-20,Up
GSTM2,-1.606858825,1.852510139,1.67E-21,5.41E-20,Down
JUNB,-1.366458832,7.959783706,1.74E-21,5.64E-20,Down
RIPK2,1.375643539,4.988837708,1.84E-21,5.97E-20,Up
CSRP1,-1.95370101,9.020833158,1.89E-21,6.09E-20,Down
RCC2,1.255127885,7.418279518,1.95E-21,6.28E-20,Up
WDR62,2.036504015,4.2629247,1.96E-21,6.30E-20,Up
GKN1,-4.675511328,10.03773309,2.02E-21,6.50E-20,Down
KIF4A,2.001553099,4.653967245,2.09E-21,6.69E-20,Up
URB2,1.263989931,4.508934465,2.16E-21,6.90E-20,Up
ANKRD9,-1.112540797,5.483155011,2.21E-21,7.07E-20,Down
COL21A1,-2.189971637,1.777423819,2.24E-21,7.14E-20,Down
CDKN1A,-1.374114534,7.110652519,2.26E-21,7.19E-20,Down
SLC52A1,-2.334182049,1.249792656,2.31E-21,7.35E-20,Down
DNAJC18,-1.324561729,3.012581293,2.35E-21,7.45E-20,Down
PPAT,1.433175027,4.324383688,2.40E-21,7.59E-20,Up
CYB5A,-1.134662973,5.905754258,2.57E-21,8.11E-20,Down
HRH2,-1.745438883,2.9420731,2.62E-21,8.25E-20,Down
JDP2,-1.097939923,4.552385964,2.66E-21,8.38E-20,Down
SLITRK3,-3.098959559,-0.206847899,2.69E-21,8.46E-20,Down
CCDC150,2.319651376,1.542845671,2.96E-21,9.27E-20,Up
RNF122,-1.290856896,3.27303116,3.08E-21,9.63E-20,Down
GPR112,-3.329048735,-1.423936094,3.11E-21,9.70E-20,Down
LRFN4,2.057115069,4.984506194,3.25E-21,1.01E-19,Up
SSBP2,-1.679732872,4.18509643,3.30E-21,1.03E-19,Down
FXYD1,-2.382131428,-3.128309989,3.31E-21,1.03E-19,Down
FBP1,-1.886675714,5.837713535,3.37E-21,1.05E-19,Down
SBSN,-4.697544861,4.803398856,3.40E-21,1.05E-19,Down
