gene_id,log2FoldChange,log2CPM,PValue,FDR,up_down
GAL3ST2,3.427101382,1.384911844,1.53E-11,1.25E-10,Up
SATB1,-1.085339911,5.200468282,1.55E-11,1.26E-10,Down
PIANP,-1.572739405,0.647480098,1.56E-11,1.27E-10,Down
ACTL8,6.948955218,2.538341611,1.58E-11,1.28E-10,Up
RASGEF1C,-1.860036319,-0.735580768,1.62E-11,1.31E-10,Down
NR3C2,-1.215560234,4.270851354,1.65E-11,1.33E-10,Down
RGS9,-1.085492303,2.722988827,1.66E-11,1.35E-10,Down
IGFBP1,5.22219605,1.337756022,1.69E-11,1.37E-10,Up
SGK1,-1.087273836,6.759719456,1.70E-11,1.38E-10,Down
BIRC5,1.464483645,5.183279166,1.74E-11,1.41E-10,Up
ZNF781,-1.324711949,-0.166915639,1.76E-11,1.43E-10,Down
FAM227A,1.502529873,1.412000789,1.77E-11,1.43E-10,Up
THY1,1.552406099,6.712888335,1.78E-11,1.44E-10,Up
COMP,4.096314881,4.813646259,1.81E-11,1.46E-10,Up
CAV1,-1.444862999,6.820873007,1.84E-11,1.48E-10,Down
HPDL,1.95302129,3.960035176,1.84E-11,1.48E-10,Up
ADAT2,1.118289222,3.502029329,1.85E-11,1.49E-10,Up
SLC31A2,-1.091341237,-0.954109461,1.87E-11,1.51E-10,Down
ZBED2,-1.894854281,1.134465236,1.92E-11,1.55E-10,Down
CXCL10,2.958633616,5.511852083,1.94E-11,1.56E-10,Up
DCLK2,-1.444905198,2.612996751,1.96E-11,1.57E-10,Down
SLC16A9,-1.844080245,2.398731922,1.97E-11,1.58E-10,Down
SULT2B1,-1.937197864,3.880752587,1.98E-11,1.59E-10,Down
CMA1,-2.252162152,-0.930720418,1.99E-11,1.59E-10,Down
NME4,-1.089872094,5.968131682,2.02E-11,1.62E-10,Down
PTX3,-1.571956678,0.404608719,2.03E-11,1.62E-10,Down
APELA,3.043736225,-1.143872897,2.07E-11,1.65E-10,Up
ZFP69B,1.085671919,1.384644598,2.10E-11,1.68E-10,Up
SFRP4,3.139021738,6.538902306,2.11E-11,1.68E-10,Up
RNLS,-1.353460849,1.335810818,2.11E-11,1.68E-10,Down
AURKB,1.468560054,4.504400797,2.13E-11,1.70E-10,Up
SPG20,-1.204243549,4.724019155,2.14E-11,1.71E-10,Down
DIRC3,-1.530470115,-1.118155658,2.16E-11,1.72E-10,Down
NOVA1,-1.727660629,2.540035509,2.18E-11,1.73E-10,Down
LHX4,1.177545058,0.74413918,2.19E-11,1.74E-10,Up
SPAG8,-1.077888939,-0.414711691,2.20E-11,1.75E-10,Down
RMI2,1.208117969,4.0904622,2.22E-11,1.77E-10,Up
CDT1,1.485864709,5.144866623,2.24E-11,1.78E-10,Up
FAM122B,1.130438801,5.433933607,2.31E-11,1.83E-10,Up
F2RL2,1.748992115,4.346211221,2.34E-11,1.85E-10,Up
ZBTB7C,-1.777945419,5.076240904,2.34E-11,1.85E-10,Down
SPARCL1,-1.59713982,8.433140332,2.35E-11,1.86E-10,Down
RTKN,1.048678692,5.914780005,2.37E-11,1.87E-10,Up
PDLIM7,-1.234000053,6.990862695,2.38E-11,1.88E-10,Down
KRTAP5-1,1.834801395,0.215515392,2.40E-11,1.90E-10,Up
NPY2R,-2.931590437,-3.277355408,2.57E-11,2.02E-10,Down
ZP1,-1.506225743,-2.192057909,2.58E-11,2.03E-10,Down
SLC9A5,1.205057973,0.805629951,2.63E-11,2.07E-10,Up
TDRD6,1.679394393,1.513407594,2.64E-11,2.08E-10,Up
FRMD6,-1.295740326,4.908720447,2.64E-11,2.08E-10,Down
CLDN6,7.068714736,3.778538991,2.74E-11,2.15E-10,Up
CENPU,1.299604913,4.190616926,2.78E-11,2.18E-10,Up
FAM159B,-2.532962359,-1.939215932,2.78E-11,2.18E-10,Down
RFX2,-1.048582203,4.141312625,2.84E-11,2.22E-10,Down
LPPR5,-2.312675477,-2.617468013,2.87E-11,2.25E-10,Down
